Date	tweets	people
2017-06-15	37	32
2017-06-16	43	37
2017-06-17	72	65
2017-06-18	30	24
2017-06-19	25	20
2017-06-20	33	24
2017-06-21	51	42
2017-06-22	35	28
2017-06-23	53	44
2017-06-24	39	32
2017-06-25	31	24
2017-06-26	37	28
2017-06-27	31	24
2017-06-28	34	26
2017-06-29	41	33
2017-06-30	36	29
2017-07-01	28	21
2017-07-02	35	27
2017-07-03	42	33
2017-07-04	35	29
2017-07-05	51	42
2017-07-06	72	65
2017-07-07	55	43
2017-07-08	47	38
2017-07-09	27	18
2017-07-10	28	21
2017-07-11	33	26
2017-07-12	39	32
2017-07-13	33	26
2017-07-14	32	24
2017-07-15	69	60
2017-07-16	32	22
2017-07-17	49	41
2017-07-18	39	28
2017-07-19	123	111
2017-07-20	58	42
2017-07-21	24	16
2017-07-22	52	45
2017-07-23	28	22
2017-07-24	29	22
2017-07-25	39	32
2017-07-26	58	49
2017-07-27	41	33
2017-07-28	32	22
2017-07-29	60	47
2017-07-30	29	19
2017-07-31	42	30
2017-08-01	36	27
2017-08-02	58	50
2017-08-03	28	22
2017-08-04	51	43
2017-08-05	43	34
2017-08-06	43	33
2017-08-07	44	28
2017-08-08	151	138
2017-08-09	40	31
2017-08-10	46	38
2017-08-11	45	39
2017-08-12	49	41
2017-08-13	57	47
2017-08-14	74	67
2017-08-15	138	127
2017-08-16	56	47
2017-08-17	40	30
2017-08-18	99	87
2017-08-19	50	39
2017-08-20	40	29
2017-08-21	54	44
2017-08-22	57	46
2017-08-23	51	37
2017-08-24	44	36
2017-08-25	48	36
2017-08-26	297	285
2017-08-27	106	98
2017-08-28	69	59
2017-08-29	60	51
2017-08-30	56	46
2017-08-31	69	59
2017-09-01	61	52
2017-09-02	137	129
2017-09-03	47	38
2017-09-04	67	54
2017-09-05	58	50
2017-09-06	52	45
2017-09-07	49	39
2017-09-08	54	42
2017-09-09	40	30
2017-09-10	43	33
2017-09-11	38	30
2017-09-12	64	51
2017-09-13	54	48
2017-09-14	101	85
2017-09-15	53	40
2017-09-16	51	42
2017-09-17	45	34
2017-09-18	227	209
2017-09-19	50	41
2017-09-20	51	35
2017-09-21	44	35
2017-09-22	47	39
2017-09-23	25	15
2017-09-24	43	32
2017-09-25	40	31
2017-09-26	38	27
2017-09-27	53	40
2017-09-28	59	49
2017-09-29	41	32
2017-09-30	38	31
2017-10-01	46	35
2017-10-02	27	19
2017-10-03	30	22
2017-10-04	61	45
2017-10-05	67	58
2017-10-06	58	49
2017-10-07	36	30
2017-10-08	40	31
2017-10-09	57	42
2017-10-10	229	151
2017-10-11	60	52
2017-10-12	47	36
2017-10-13	44	32
2017-10-14	77	67
2017-10-15	157515	84188
2017-10-16	606477	329653
2017-10-17	332900	176456
2017-10-18	7186	3959
2017-10-19	127284	67060
