views	n_tweets	n_tweeted
0	111725	111725
1	90487	202212
2	70219	272431
3	56568	328999
4	46087	375086
5	39073	414159
6	33673	447832
7	29234	477066
8	25609	502675
9	23049	525724
10	20669	546393
11	18824	565217
12	17335	582552
13	15619	598171
14	14222	612393
15	13377	625770
16	12413	638183
17	11569	649752
18	10968	660720
19	10219	670939
20	9503	680442
21	9207	689649
22	8734	698383
23	8242	706625
24	7643	714268
25	7328	721596
26	7148	728744
27	6734	735478
28	6448	741926
29	6065	747991
30	5946	753937
31	5689	759626
32	5386	765012
33	5228	770240
34	4991	775231
35	4816	780047
36	4667	784714
37	4463	789177
38	4426	793603
39	4165	797768
40	3976	801744
41	3913	805657
42	3846	809503
43	3697	813200
44	3590	816790
45	3462	820252
46	3395	823647
47	3166	826813
48	3152	829965
49	3127	833092
50	3062	836154
51	2952	839106
52	2922	842028
53	2655	844683
54	2736	847419
55	2617	850036
56	2598	852634
57	2525	855159
58	2348	857507
59	2441	859948
60	2296	862244
61	2264	864508
62	2168	866676
63	2165	868841
64	2060	870901
65	2012	872913
66	2011	874924
67	1990	876914
68	1954	878868
69	1875	880743
70	1938	882681
71	1832	884513
72	1719	886232
73	1756	887988
74	1712	889700
75	1654	891354
76	1669	893023
77	1570	894593
78	1538	896131
79	1643	897774
80	1527	899301
81	1474	900775
82	1507	902282
83	1381	903663
84	1380	905043
85	1337	906380
86	1406	907786
87	1323	909109
88	1330	910439
89	1291	911730
90	1303	913033
91	1323	914356
92	1184	915540
93	1187	916727
94	1201	917928
95	1139	919067
96	1120	920187
97	1116	921303
98	1131	922434
99	1120	923554
100	1158	924712
101	1073	925785
102	987	926772
103	1037	927809
104	978	928787
105	992	929779
106	979	930758
107	965	931723
108	952	932675
109	915	933590
110	923	934513
111	929	935442
112	893	936335
113	818	937153
114	790	937943
115	844	938787
116	829	939616
117	869	940485
118	874	941359
119	830	942189
120	780	942969
121	757	943726
122	780	944506
123	767	945273
124	720	945993
125	764	946757
126	725	947482
127	722	948204
128	744	948948
129	668	949616
130	742	950358
131	689	951047
132	711	951758
133	658	952416
134	703	953119
135	627	953746
136	646	954392
137	640	955032
138	592	955624
139	662	956286
140	668	956954
141	606	957560
142	596	958156
143	597	958753
144	588	959341
145	557	959898
146	564	960462
147	525	960987
148	552	961539
149	592	962131
150	564	962695
151	594	963289
152	542	963831
153	597	964428
154	545	964973
155	559	965532
156	523	966055
157	528	966583
158	534	967117
159	479	967596
160	477	968073
161	476	968549
162	485	969034
163	469	969503
164	491	969994
165	501	970495
166	499	970994
167	452	971446
168	437	971883
169	455	972338
170	451	972789
171	432	973221
172	424	973645
173	428	974073
174	454	974527
175	419	974946
176	408	975354
177	393	975747
178	403	976150
179	413	976563
180	382	976945
181	431	977376
182	348	977724
183	353	978077
184	373	978450
185	368	978818
186	363	979181
187	360	979541
188	356	979897
189	402	980299
190	334	980633
191	356	980989
192	342	981331
193	334	981665
194	336	982001
195	355	982356
196	347	982703
197	322	983025
198	338	983363
199	305	983668
200	339	984007
201	318	984325
