views	n_tweets	n_tweeted	n_viewers
1	83259.0	83259.0	115805191.0
2	70794.0	154053.0	43973044.0
3	60955.0	215008.0	23981396.0
4	52234.0	267242.0	15081325.0
5	46561.0	313803.0	10245076.0
6	41035.0	354838.0	7302534.0
7	36334.0	391172.0	5472985.0
8	33103.0	424275.0	4259941.0
9	29697.0	453972.0	3401823.0
10	27390.0	481362.0	2771758.0
11	24878.0	506240.0	2303284.0
12	23175.0	529415.0	1948894.0
13	21619.0	551034.0	1668745.0
14	20129.0	571163.0	1446530.0
15	18917.0	590080.0	1264470.0
16	17425.0	607505.0	1115290.0
17	16542.0	624047.0	990259.0
18	15494.0	639541.0	882478.0
19	14466.0	654007.0	792563.0
20	13867.0	667874.0	717686.0
21	13075.0	680949.0	651053.0
22	12572.0	693521.0	593272.0
23	12076.0	705597.0	540673.0
24	11375.0	716972.0	496164.0
25	11008.0	727980.0	454940.0
26	10336.0	738316.0	416598.0
27	10250.0	748566.0	384624.0
28	9700.0	758266.0	355498.0
29	9294.0	767560.0	328974.0
30	8858.0	776418.0	306141.0
31	8745.0	785163.0	283947.0
32	8254.0	793417.0	264912.0
33	7973.0	801390.0	248445.0
34	7728.0	809118.0	233128.0
35	7268.0	816386.0	218163.0
36	7171.0	823557.0	205776.0
37	7032.0	830589.0	194085.0
38	6732.0	837321.0	184109.0
39	6557.0	843878.0	174109.0
40	6420.0	850298.0	165211.0
41	6257.0	856555.0	157110.0
42	6036.0	862591.0	148758.0
43	5792.0	868383.0	142577.0
44	5706.0	874089.0	135834.0
45	5534.0	879623.0	129892.0
46	5355.0	884978.0	124511.0
47	5258.0	890236.0	118816.0
48	5025.0	895261.0	113191.0
49	5155.0	900416.0	109060.0
50	4955.0	905371.0	104812.0
51	4746.0	910117.0	100072.0
52	4622.0	914739.0	95929.0
53	4575.0	919314.0	91879.0
54	4421.0	923735.0	88482.0
55	4359.0	928094.0	84544.0
56	4189.0	932283.0	81276.0
57	4211.0	936494.0	77952.0
58	4115.0	940609.0	75308.0
59	3960.0	944569.0	72509.0
60	3877.0	948446.0	70274.0
61	3734.0	952180.0	67321.0
62	3750.0	955930.0	65553.0
63	3487.0	959417.0	62916.0
64	3520.0	962937.0	61167.0
65	3495.0	966432.0	59115.0
66	3437.0	969869.0	57289.0
67	3279.0	973148.0	54901.0
68	3224.0	976372.0	53540.0
69	3323.0	979695.0	51830.0
70	3120.0	982815.0	50415.0
71	2997.0	985812.0	48687.0
72	3064.0	988876.0	47332.0
73	2921.0	991797.0	46311.0
74	2904.0	994701.0	44816.0
75	2875.0	997576.0	43494.0
76	2838.0	1000414.0	42253.0
77	2783.0	1003197.0	40700.0
78	2762.0	1005959.0	39736.0
79	2603.0	1008562.0	38322.0
80	2679.0	1011241.0	37699.0
81	2525.0	1013766.0	36763.0
82	2504.0	1016270.0	35472.0
83	2424.0	1018694.0	34916.0
84	2429.0	1021123.0	33603.0
85	2374.0	1023497.0	32622.0
86	2323.0	1025820.0	31678.0
87	2260.0	1028080.0	31002.0
88	2320.0	1030400.0	30080.0
89	2277.0	1032677.0	29515.0
90	2319.0	1034996.0	28640.0
91	2213.0	1037209.0	27839.0
92	2100.0	1039309.0	27355.0
93	2123.0	1041432.0	26325.0
94	2047.0	1043479.0	25822.0
95	2020.0	1045499.0	25149.0
96	1952.0	1047451.0	24540.0
97	1906.0	1049357.0	24372.0
98	1887.0	1051244.0	23708.0
99	1867.0	1053111.0	22926.0
