views	n_tweets	n_tweeted
0	792405	792405
1	140113	932518
2	97290	1029808
3	71977	1101785
4	55881	1157666
5	45273	1202939
6	37530	1240469
7	31420	1271889
8	26992	1298881
9	23398	1322279
10	20757	1343036
11	18518	1361554
12	16879	1378433
13	15119	1393552
14	13844	1407396
15	12796	1420192
16	11535	1431727
17	10589	1442316
18	9659	1451975
19	9176	1461151
20	8521	1469672
21	8041	1477713
22	7537	1485250
23	7093	1492343
24	6458	1498801
25	6150	1504951
26	5638	1510589
27	5463	1516052
28	5109	1521161
29	4726	1525887
30	4591	1530478
31	4345	1534823
32	4054	1538877
33	3883	1542760
34	3750	1546510
35	3534	1550044
36	3430	1553474
37	3222	1556696
38	3071	1559767
39	2964	1562731
40	2806	1565537
41	2643	1568180
42	2628	1570808
43	2365	1573173
44	2313	1575486
45	2245	1577731
46	2210	1579941
47	2056	1581997
48	1864	1583861
49	1923	1585784
50	1834	1587618
51	1647	1589265
52	1732	1590997
53	1617	1592614
54	1498	1594112
55	1573	1595685
56	1442	1597127
57	1415	1598542
58	1319	1599861
59	1281	1601142
60	1266	1602408
61	1257	1603665
62	1187	1604852
63	1117	1605969
64	1085	1607054
65	1030	1608084
66	1010	1609094
67	909	1610003
68	912	1610915
69	920	1611835
70	865	1612700
71	802	1613502
72	792	1614294
73	819	1615113
74	790	1615903
75	766	1616669
76	717	1617386
77	658	1618044
78	671	1618715
79	593	1619308
80	603	1619911
81	622	1620533
82	571	1621104
83	592	1621696
84	517	1622213
85	543	1622756
86	552	1623308
87	474	1623782
88	451	1624233
89	437	1624670
90	466	1625136
91	425	1625561
92	440	1626001
93	409	1626410
94	383	1626793
95	380	1627173
96	355	1627528
97	355	1627883
98	361	1628244
99	362	1628606
100	316	1628922
101	305	1629227
102	324	1629551
103	291	1629842
104	285	1630127
105	280	1630407
106	284	1630691
107	275	1630966
108	271	1631237
109	273	1631510
110	262	1631772
111	261	1632033
112	240	1632273
113	257	1632530
114	237	1632767
115	234	1633001
116	227	1633228
117	197	1633425
118	208	1633633
119	195	1633828
120	188	1634016
121	174	1634190
122	174	1634364
123	168	1634532
124	184	1634716
125	167	1634883
126	146	1635029
127	174	1635203
128	150	1635353
129	121	1635474
130	159	1635633
131	165	1635798
132	134	1635932
133	152	1636084
134	117	1636201
135	123	1636324
136	113	1636437
137	118	1636555
138	116	1636671
139	129	1636800
140	97	1636897
141	103	1637000
142	88	1637088
143	104	1637192
144	74	1637266
145	116	1637382
146	102	1637484
147	90	1637574
148	92	1637666
149	78	1637744
150	95	1637839
151	80	1637919
152	84	1638003
153	86	1638089
154	84	1638173
155	68	1638241
156	68	1638309
157	85	1638394
158	53	1638447
159	51	1638498
160	72	1638570
161	65	1638635
162	59	1638694
163	66	1638760
164	64	1638824
165	55	1638879
166	63	1638942
167	47	1638989
168	48	1639037
169	61	1639098
170	50	1639148
171	55	1639203
172	50	1639253
173	50	1639303
174	65	1639368
175	40	1639408
176	55	1639463
177	44	1639507
178	40	1639547
179	44	1639591
180	39	1639630
181	48	1639678
182	44	1639722
183	38	1639760
184	39	1639799
185	39	1639838
186	36	1639874
187	35	1639909
188	43	1639952
189	35	1639987
190	37	1640024
191	35	1640059
192	25	1640084
193	28	1640112
194	28	1640140
195	33	1640173
196	20	1640193
197	23	1640216
198	20	1640236
199	20	1640256
200	26	1640282
201	29	1640311
202	19	1640330
203	29	1640359
204	19	1640378
205	26	1640404
206	27	1640431
207	15	1640446
208	18	1640464
209	21	1640485
210	16	1640501
211	23	1640524
212	11	1640535
213	20	1640555
214	21	1640576
215	20	1640596
216	23	1640619
217	18	1640637
218	14	1640651
219	15	1640666
220	23	1640689
221	17	1640706
222	17	1640723
223	16	1640739
224	16	1640755
225	13	1640768
226	11	1640779
227	12	1640791
228	13	1640804
229	14	1640818
230	17	1640835
231	12	1640847
232	9	1640856
233	15	1640871
234	9	1640880
235	21	1640901
236	16	1640917
237	12	1640929
238	8	1640937
239	7	1640944
240	16	1640960
241	23	1640983
242	12	1640995
243	7	1641002
244	12	1641014
245	11	1641025
246	11	1641036
247	8	1641044
248	15	1641059
249	6	1641065
250	7	1641072
251	4	1641076
252	11	1641087
253	9	1641096
254	8	1641104
255	10	1641114
256	8	1641122
257	5	1641127
258	9	1641136
259	10	1641146
260	4	1641150
261	9	1641159
262	6	1641165
263	11	1641176
264	9	1641185
265	7	1641192
266	5	1641197
267	3	1641200
268	5	1641205
269	5	1641210
270	8	1641218
271	6	1641224
272	6	1641230
273	2	1641232
274	7	1641239
275	3	1641242
276	5	1641247
277	2	1641249
278	4	1641253
279	3	1641256
280	1	1641257
281	6	1641263
282	2	1641265
283	8	1641273
284	3	1641276
285	4	1641280
286	3	1641283
287	7	1641290
288	2	1641292
