mentions_seen	friends_seen	tweets_seen
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	1	1
0	0	0
0	0	0
0	1	2
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	1	3
0	0	0
0	0	0
0	0	0
0	1	3
0	0	0
0	0	0
0	0	0
0	2	3
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	4	6
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	4
0	0	0
0	0	0
0	1	1
0	2	2
0	2	2
0	1	1
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	1	1
0	1	5
0	5	16
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	1	1
0	1	1
0	3	9
0	2	4
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	5	24
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	1	1
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
0	2	3
0	1	3
0	1	1
0	0	0
0	0	0
0	1	1
1	1	1
0	1	1
0	0	0
0	1	3
0	3	5
0	1	22
0	1	1
1	1	1
0	0	0
1	1	1
0	0	0
0	4	10
1	1	1
0	0	0
1	1	1
0	0	0
2	4	13
0	0	0
0	0	0
0	0	0
0	0	0
0	1	3
0	0	0
0	0	0
0	1	1
0	3	3
0	0	0
0	1	3
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	2	2
0	0	0
0	0	0
0	0	0
0	0	0
0	1	1
0	0	0
0	1	1
0	3	5
0	5	12
