views	n_tweets	n_tweeted	n_viewers
1	47791.0	47791.0	41865986.0
2	39118.0	86909.0	33307509.0
3	33687.0	120596.0	21041680.0
4	29149.0	149745.0	15554725.0
5	25749.0	175494.0	12433714.0
6	23320.0	198814.0	9984318.0
7	21249.0	220063.0	8122122.0
8	19370.0	239433.0	6841704.0
9	18131.0	257564.0	6149701.0
10	16920.0	274484.0	5541970.0
11	15876.0	290360.0	4714606.0
12	14945.0	305305.0	4402546.0
13	13949.0	319254.0	3818895.0
14	13244.0	332498.0	3576218.0
15	12472.0	344970.0	3192079.0
16	11659.0	356629.0	2952840.0
17	11301.0	367930.0	2635622.0
18	10880.0	378810.0	2575023.0
19	10442.0	389252.0	2256628.0
20	10083.0	399335.0	2097162.0
21	9473.0	408808.0	1959396.0
22	9165.0	417973.0	1874463.0
23	8917.0	426890.0	1707499.0
24	8400.0	435290.0	1593375.0
25	8121.0	443411.0	1636846.0
26	7887.0	451298.0	1495783.0
27	7626.0	458924.0	1435290.0
28	7402.0	466326.0	1320533.0
29	7204.0	473530.0	1296890.0
30	6894.0	480424.0	1217468.0
31	6698.0	487122.0	1160966.0
32	6621.0	493743.0	1143223.0
33	6360.0	500103.0	1042250.0
34	6134.0	506237.0	1052858.0
35	6041.0	512278.0	955108.0
36	5904.0	518182.0	910258.0
37	5827.0	524009.0	877021.0
38	5557.0	529566.0	899102.0
39	5489.0	535055.0	835713.0
40	5322.0	540377.0	804403.0
41	5264.0	545641.0	765631.0
42	5131.0	550772.0	719016.0
43	5066.0	555838.0	712495.0
44	4832.0	560670.0	691477.0
45	4757.0	565427.0	683212.0
46	4751.0	570178.0	620173.0
47	4608.0	574786.0	576395.0
48	4538.0	579324.0	594032.0
49	4414.0	583738.0	595266.0
50	4243.0	587981.0	554037.0
51	4355.0	592336.0	573775.0
52	4152.0	596488.0	544207.0
53	4155.0	600643.0	534795.0
54	4101.0	604744.0	501508.0
55	3990.0	608734.0	524541.0
56	3939.0	612673.0	462040.0
57	3924.0	616597.0	442026.0
58	3825.0	620422.0	472439.0
59	3707.0	624129.0	425708.0
60	3631.0	627760.0	406149.0
61	3566.0	631326.0	437087.0
62	3466.0	634792.0	430211.0
63	3482.0	638274.0	385943.0
64	3450.0	641724.0	367731.0
65	3261.0	644985.0	351904.0
66	3281.0	648266.0	357825.0
67	3186.0	651452.0	339572.0
68	3227.0	654679.0	307078.0
69	3150.0	657829.0	339136.0
70	3105.0	660934.0	340722.0
71	3048.0	663982.0	301253.0
72	3122.0	667104.0	283249.0
73	3017.0	670121.0	277556.0
74	2942.0	673063.0	284559.0
75	2931.0	675994.0	269657.0
76	2914.0	678908.0	258190.0
77	2740.0	681648.0	248678.0
78	2779.0	684427.0	241178.0
79	2767.0	687194.0	240405.0
80	2868.0	690062.0	229242.0
81	2620.0	692682.0	246662.0
82	2736.0	695418.0	223224.0
83	2636.0	698054.0	233210.0
84	2607.0	700661.0	229879.0
85	2613.0	703274.0	207273.0
86	2474.0	705748.0	207759.0
87	2467.0	708215.0	212110.0
88	2434.0	710649.0	199650.0
89	2419.0	713068.0	199355.0
90	2332.0	715400.0	194663.0
91	2455.0	717855.0	216685.0
92	2401.0	720256.0	190909.0
93	2403.0	722659.0	189314.0
94	2298.0	724957.0	206054.0
95	2303.0	727260.0	176318.0
96	2242.0	729502.0	177753.0
97	2295.0	731797.0	198331.0
98	2259.0	734056.0	185201.0
99	2182.0	736238.0	165952.0
100	2161.0	738399.0	164788.0
101	2121.0	740520.0	158119.0
102	2125.0	742645.0	152215.0
103	2110.0	744755.0	153879.0
104	2000.0	746755.0	151302.0
105	2080.0	748835.0	147455.0
106	2081.0	750916.0	150352.0
107	2003.0	752919.0	144642.0
108	1924.0	754843.0	139046.0
109	1952.0	756795.0	146876.0
110	1949.0	758744.0	136764.0
111	1926.0	760670.0	134917.0
112	1931.0	762601.0	129392.0
113	1890.0	764491.0	128745.0
114	1870.0	766361.0	126818.0
115	1848.0	768209.0	141590.0
116	1855.0	770064.0	123301.0
117	1862.0	771926.0	126952.0
118	1836.0	773762.0	122910.0
119	1857.0	775619.0	121837.0
120	1691.0	777310.0	124555.0
121	1719.0	779029.0	120724.0
122	1793.0	780822.0	113642.0
123	1678.0	782500.0	110011.0
124	1740.0	784240.0	106896.0
125	1727.0	785967.0	107933.0
126	1733.0	787700.0	106356.0
127	1679.0	789379.0	106534.0
128	1661.0	791040.0	103980.0
129	1617.0	792657.0	101000.0
130	1632.0	794289.0	107151.0
131	1645.0	795934.0	96848.0
132	1633.0	797567.0	95841.0
133	1569.0	799136.0	94431.0
134	1609.0	800745.0	100126.0
135	1557.0	802302.0	91627.0
136	1556.0	803858.0	89768.0
137	1549.0	805407.0	94897.0
138	1460.0	806867.0	104072.0
139	1485.0	808352.0	89625.0
140	1491.0	809843.0	87828.0
141	1449.0	811292.0	98260.0
142	1500.0	812792.0	88358.0
143	1461.0	814253.0	89285.0
144	1486.0	815739.0	87342.0
145	1411.0	817150.0	86096.0
146	1496.0	818646.0	84007.0
147	1417.0	820063.0	107641.0
148	1444.0	821507.0	84085.0
149	1462.0	822969.0	81280.0
150	1419.0	824388.0	81919.0
151	1331.0	825719.0	89637.0
152	1387.0	827106.0	81677.0
153	1357.0	828463.0	79921.0
154	1344.0	829807.0	80890.0
155	1390.0	831197.0	78741.0
156	1351.0	832548.0	77631.0
157	1419.0	833967.0	79692.0
158	1320.0	835287.0	74141.0
159	1304.0	836591.0	76739.0
160	1290.0	837881.0	71929.0
161	1314.0	839195.0	71734.0
162	1257.0	840452.0	71781.0
163	1278.0	841730.0	70073.0
164	1241.0	842971.0	67490.0
165	1249.0	844220.0	67389.0
166	1302.0	845522.0	66579.0
167	1172.0	846694.0	65333.0
168	1228.0	847922.0	65918.0
169	1233.0	849155.0	64904.0
170	1212.0	850367.0	63708.0
171	1170.0	851537.0	64649.0
172	1181.0	852718.0	63455.0
173	1141.0	853859.0	62790.0
174	1179.0	855038.0	62704.0
175	1155.0	856193.0	59686.0
176	1164.0	857357.0	61691.0
177	1185.0	858542.0	59107.0
178	1134.0	859676.0	59140.0
179	1157.0	860833.0	58417.0
180	1160.0	861993.0	57063.0
181	1106.0	863099.0	76512.0
182	1136.0	864235.0	58490.0
183	1036.0	865271.0	56741.0
184	1072.0	866343.0	56596.0
185	1080.0	867423.0	55229.0
186	1094.0	868517.0	53348.0
187	1055.0	869572.0	54724.0
188	1067.0	870639.0	52762.0
189	1009.0	871648.0	52678.0
190	1058.0	872706.0	53466.0
191	993.0	873699.0	51012.0
192	1009.0	874708.0	49670.0
193	1032.0	875740.0	52219.0
194	1092.0	876832.0	48920.0
195	1002.0	877834.0	52070.0
196	1033.0	878867.0	48128.0
197	1070.0	879937.0	46975.0
198	1038.0	880975.0	47643.0
199	1025.0	882000.0	48131.0
200	985.0	882985.0	46687.0
201	995.0	883980.0	45182.0
202	1043.0	885023.0	44334.0
203	969.0	885992.0	44563.0
204	962.0	886954.0	43824.0
205	982.0	887936.0	42930.0
206	984.0	888920.0	42581.0
207	977.0	889897.0	42552.0
208	964.0	890861.0	41668.0
209	891.0	891752.0	41166.0
210	949.0	892701.0	40993.0
211	958.0	893659.0	40236.0
212	923.0	894582.0	41637.0
213	915.0	895497.0	40466.0
214	901.0	896398.0	40561.0
215	945.0	897343.0	41895.0
216	972.0	898315.0	39901.0
217	932.0	899247.0	39164.0
218	882.0	900129.0	38639.0
219	845.0	900974.0	37795.0
220	903.0	901877.0	37634.0
221	962.0	902839.0	39037.0
222	909.0	903748.0	36883.0
223	891.0	904639.0	36861.0
224	893.0	905532.0	37548.0
225	903.0	906435.0	36195.0
226	860.0	907295.0	35705.0
227	906.0	908201.0	37245.0
228	861.0	909062.0	35540.0
229	847.0	909909.0	35065.0
230	847.0	910756.0	35331.0
231	834.0	911590.0	35515.0
232	847.0	912437.0	34847.0
233	887.0	913324.0	33539.0
234	815.0	914139.0	32835.0
235	849.0	914988.0	32761.0
236	841.0	915829.0	32657.0
237	848.0	916677.0	31831.0
238	813.0	917490.0	31676.0
239	790.0	918280.0	31190.0
240	841.0	919121.0	30970.0
241	811.0	919932.0	30136.0
242	768.0	920700.0	30290.0
243	819.0	921519.0	29966.0
244	805.0	922324.0	29586.0
245	749.0	923073.0	29185.0
246	778.0	923851.0	30412.0
247	794.0	924645.0	28546.0
248	809.0	925454.0	28120.0
249	791.0	926245.0	28422.0
250	740.0	926985.0	28355.0
251	799.0	927784.0	28093.0
252	709.0	928493.0	27144.0
253	745.0	929238.0	27112.0
254	788.0	930026.0	27011.0
255	786.0	930812.0	26803.0
256	741.0	931553.0	27275.0
257	801.0	932354.0	26579.0
258	732.0	933086.0	26082.0
259	751.0	933837.0	26150.0
260	734.0	934571.0	25482.0
261	795.0	935366.0	25604.0
262	682.0	936048.0	26401.0
263	732.0	936780.0	26419.0
264	711.0	937491.0	32260.0
265	764.0	938255.0	26859.0
266	736.0	938991.0	26036.0
267	703.0	939694.0	26697.0
268	721.0	940415.0	26213.0
269	619.0	941034.0	25387.0
270	726.0	941760.0	26760.0
271	730.0	942490.0	25487.0
272	701.0	943191.0	24312.0
