views	n_tweets	n_tweeted	n_viewers
1	17819.0	17819.0	41865986.0
2	13147.0	30966.0	33307509.0
3	10997.0	41963.0	21041680.0
4	9060.0	51023.0	15554725.0
5	7731.0	58754.0	12433714.0
6	6913.0	65667.0	9984318.0
7	6072.0	71739.0	8122122.0
8	5557.0	77296.0	6841704.0
9	5107.0	82403.0	6149701.0
10	4658.0	87061.0	5541970.0
11	4311.0	91372.0	4714606.0
12	4175.0	95547.0	4402546.0
13	3818.0	99365.0	3818895.0
14	3469.0	102834.0	3576218.0
15	3361.0	106195.0	3192079.0
16	3052.0	109247.0	2952840.0
17	2904.0	112151.0	2635622.0
18	2881.0	115032.0	2575023.0
19	2678.0	117710.0	2256628.0
20	2590.0	120300.0	2097162.0
21	2429.0	122729.0	1959396.0
22	2290.0	125019.0	1874463.0
23	2252.0	127271.0	1707499.0
24	2053.0	129324.0	1593375.0
25	2005.0	131329.0	1636846.0
26	2028.0	133357.0	1495783.0
27	1883.0	135240.0	1435290.0
28	1865.0	137105.0	1320533.0
29	1806.0	138911.0	1296890.0
30	1728.0	140639.0	1217468.0
31	1662.0	142301.0	1160966.0
32	1597.0	143898.0	1143223.0
33	1567.0	145465.0	1042250.0
34	1452.0	146917.0	1052858.0
35	1497.0	148414.0	955108.0
36	1480.0	149894.0	910258.0
37	1467.0	151361.0	877021.0
38	1388.0	152749.0	899102.0
39	1309.0	154058.0	835713.0
40	1299.0	155357.0	804403.0
41	1332.0	156689.0	765631.0
42	1277.0	157966.0	719016.0
43	1213.0	159179.0	712495.0
44	1141.0	160320.0	691477.0
45	1150.0	161470.0	683212.0
46	1137.0	162607.0	620173.0
47	1124.0	163731.0	576395.0
48	1090.0	164821.0	594032.0
49	1076.0	165897.0	595266.0
50	1040.0	166937.0	554037.0
51	1053.0	167990.0	573775.0
52	975.0	168965.0	544207.0
53	1014.0	169979.0	534795.0
54	965.0	170944.0	501508.0
55	965.0	171909.0	524541.0
56	916.0	172825.0	462040.0
57	950.0	173775.0	442026.0
58	898.0	174673.0	472439.0
59	862.0	175535.0	425708.0
60	871.0	176406.0	406149.0
61	879.0	177285.0	437087.0
62	825.0	178110.0	430211.0
63	836.0	178946.0	385943.0
64	819.0	179765.0	367731.0
65	765.0	180530.0	351904.0
66	737.0	181267.0	357825.0
67	725.0	181992.0	339572.0
68	758.0	182750.0	307078.0
69	733.0	183483.0	339136.0
70	702.0	184185.0	340722.0
71	739.0	184924.0	301253.0
72	747.0	185671.0	283249.0
73	707.0	186378.0	277556.0
74	676.0	187054.0	284559.0
75	679.0	187733.0	269657.0
76	641.0	188374.0	258190.0
77	665.0	189039.0	248678.0
78	602.0	189641.0	241178.0
79	685.0	190326.0	240405.0
80	649.0	190975.0	229242.0
81	612.0	191587.0	246662.0
82	686.0	192273.0	223224.0
83	602.0	192875.0	233210.0
84	642.0	193517.0	229879.0
85	605.0	194122.0	207273.0
86	547.0	194669.0	207759.0
87	574.0	195243.0	212110.0
88	564.0	195807.0	199650.0
89	546.0	196353.0	199355.0
90	553.0	196906.0	194663.0
91	539.0	197445.0	216685.0
92	555.0	198000.0	190909.0
93	539.0	198539.0	189314.0
94	513.0	199052.0	206054.0
95	515.0	199567.0	176318.0
96	528.0	200095.0	177753.0
97	563.0	200658.0	198331.0
98	544.0	201202.0	185201.0
99	513.0	201715.0	165952.0
100	499.0	202214.0	164788.0
101	487.0	202701.0	158119.0
102	493.0	203194.0	152215.0
103	486.0	203680.0	153879.0
104	470.0	204150.0	151302.0
105	460.0	204610.0	147455.0
106	489.0	205099.0	150352.0
107	464.0	205563.0	144642.0
108	464.0	206027.0	139046.0
109	472.0	206499.0	146876.0
110	452.0	206951.0	136764.0
111	450.0	207401.0	134917.0
112	450.0	207851.0	129392.0
113	439.0	208290.0	128745.0
114	457.0	208747.0	126818.0
115	446.0	209193.0	141590.0
116	428.0	209621.0	123301.0
117	454.0	210075.0	126952.0
118	402.0	210477.0	122910.0
119	441.0	210918.0	121837.0
120	409.0	211327.0	124555.0
121	387.0	211714.0	120724.0
122	427.0	212141.0	113642.0
123	385.0	212526.0	110011.0
124	424.0	212950.0	106896.0
125	413.0	213363.0	107933.0
126	404.0	213767.0	106356.0
127	412.0	214179.0	106534.0
128	385.0	214564.0	103980.0
129	405.0	214969.0	101000.0
130	411.0	215380.0	107151.0
131	370.0	215750.0	96848.0
132	383.0	216133.0	95841.0
133	364.0	216497.0	94431.0
134	365.0	216862.0	100126.0
135	365.0	217227.0	91627.0
136	348.0	217575.0	89768.0
137	359.0	217934.0	94897.0
138	371.0	218305.0	104072.0
139	360.0	218665.0	89625.0
140	358.0	219023.0	87828.0
141	349.0	219372.0	98260.0
142	329.0	219701.0	88358.0
143	351.0	220052.0	89285.0
144	385.0	220437.0	87342.0
145	321.0	220758.0	86096.0
146	391.0	221149.0	84007.0
147	330.0	221479.0	107641.0
148	349.0	221828.0	84085.0
149	319.0	222147.0	81280.0
150	338.0	222485.0	81919.0
151	305.0	222790.0	89637.0
152	330.0	223120.0	81677.0
153	316.0	223436.0	79921.0
154	280.0	223716.0	80890.0
155	331.0	224047.0	78741.0
156	346.0	224393.0	77631.0
157	332.0	224725.0	79692.0
158	301.0	225026.0	74141.0
159	325.0	225351.0	76739.0
160	283.0	225634.0	71929.0
161	315.0	225949.0	71734.0
162	312.0	226261.0	71781.0
163	324.0	226585.0	70073.0
164	289.0	226874.0	67490.0
165	319.0	227193.0	67389.0
166	283.0	227476.0	66579.0
167	264.0	227740.0	65333.0
168	277.0	228017.0	65918.0
169	304.0	228321.0	64904.0
170	276.0	228597.0	63708.0
171	276.0	228873.0	64649.0
172	274.0	229147.0	63455.0
173	274.0	229421.0	62790.0
174	234.0	229655.0	62704.0
175	282.0	229937.0	59686.0
176	292.0	230229.0	61691.0
177	289.0	230518.0	59107.0
178	283.0	230801.0	59140.0
179	237.0	231038.0	58417.0
180	294.0	231332.0	57063.0
181	265.0	231597.0	76512.0
182	256.0	231853.0	58490.0
183	262.0	232115.0	56741.0
184	242.0	232357.0	56596.0
185	254.0	232611.0	55229.0
186	252.0	232863.0	53348.0
187	249.0	233112.0	54724.0
188	245.0	233357.0	52762.0
189	247.0	233604.0	52678.0
190	253.0	233857.0	53466.0
191	226.0	234083.0	51012.0
192	238.0	234321.0	49670.0
193	237.0	234558.0	52219.0
194	253.0	234811.0	48920.0
195	241.0	235052.0	52070.0
196	252.0	235304.0	48128.0
197	269.0	235573.0	46975.0
198	247.0	235820.0	47643.0
199	246.0	236066.0	48131.0
200	230.0	236296.0	46687.0
201	250.0	236546.0	45182.0
202	250.0	236796.0	44334.0
203	240.0	237036.0	44563.0
204	250.0	237286.0	43824.0
205	254.0	237540.0	42930.0
206	225.0	237765.0	42581.0
207	247.0	238012.0	42552.0
208	227.0	238239.0	41668.0
209	214.0	238453.0	41166.0
210	241.0	238694.0	40993.0
211	233.0	238927.0	40236.0
212	240.0	239167.0	41637.0
213	220.0	239387.0	40466.0
214	211.0	239598.0	40561.0
215	236.0	239834.0	41895.0
216	238.0	240072.0	39901.0
217	217.0	240289.0	39164.0
218	228.0	240517.0	38639.0
219	213.0	240730.0	37795.0
220	205.0	240935.0	37634.0
221	244.0	241179.0	39037.0
222	215.0	241394.0	36883.0
223	210.0	241604.0	36861.0
224	201.0	241805.0	37548.0
225	234.0	242039.0	36195.0
226	216.0	242255.0	35705.0
227	206.0	242461.0	37245.0
228	216.0	242677.0	35540.0
229	205.0	242882.0	35065.0
230	199.0	243081.0	35331.0
231	195.0	243276.0	35515.0
232	199.0	243475.0	34847.0
233	205.0	243680.0	33539.0
234	199.0	243879.0	32835.0
235	222.0	244101.0	32761.0
236	208.0	244309.0	32657.0
237	217.0	244526.0	31831.0
238	194.0	244720.0	31676.0
239	180.0	244900.0	31190.0
240	200.0	245100.0	30970.0
241	194.0	245294.0	30136.0
242	183.0	245477.0	30290.0
243	195.0	245672.0	29966.0
244	209.0	245881.0	29586.0
245	172.0	246053.0	29185.0
246	194.0	246247.0	30412.0
247	208.0	246455.0	28546.0
248	189.0	246644.0	28120.0
249	187.0	246831.0	28422.0
250	195.0	247026.0	28355.0
251	198.0	247224.0	28093.0
252	194.0	247418.0	27144.0
253	175.0	247593.0	27112.0
254	175.0	247768.0	27011.0
255	201.0	247969.0	26803.0
256	187.0	248156.0	27275.0
257	183.0	248339.0	26579.0
258	183.0	248522.0	26082.0
259	181.0	248703.0	26150.0
260	194.0	248897.0	25482.0
261	184.0	249081.0	25604.0
262	180.0	249261.0	26401.0
263	173.0	249434.0	26419.0
264	170.0	249604.0	32260.0
265	214.0	249818.0	26859.0
266	183.0	250001.0	26036.0
267	164.0	250165.0	26697.0
268	180.0	250345.0	26213.0
269	167.0	250512.0	25387.0
270	181.0	250693.0	26760.0
