views	n_tweets	n_tweeted	n_viewers
1	27950.0	27950.0	41865986.0
2	24322.0	52272.0	33307509.0
3	21519.0	73791.0	21041680.0
4	19106.0	92897.0	15554725.0
5	17163.0	110060.0	12433714.0
6	15686.0	125746.0	9984318.0
7	14531.0	140277.0	8122122.0
8	13270.0	153547.0	6841704.0
9	12438.0	165985.0	6149701.0
10	11720.0	177705.0	5541970.0
11	11062.0	188767.0	4714606.0
12	10304.0	199071.0	4402546.0
13	9726.0	208797.0	3818895.0
14	9375.0	218172.0	3576218.0
15	8754.0	226926.0	3192079.0
16	8277.0	235203.0	2952840.0
17	8026.0	243229.0	2635622.0
18	7635.0	250864.0	2575023.0
19	7442.0	258306.0	2256628.0
20	7133.0	265439.0	2097162.0
21	6739.0	272178.0	1959396.0
22	6614.0	278792.0	1874463.0
23	6371.0	285163.0	1707499.0
24	6060.0	291223.0	1593375.0
25	5813.0	297036.0	1636846.0
26	5618.0	302654.0	1495783.0
27	5540.0	308194.0	1435290.0
28	5341.0	313535.0	1320533.0
29	5136.0	318671.0	1296890.0
30	5010.0	323681.0	1217468.0
31	4814.0	328495.0	1160966.0
32	4798.0	333293.0	1143223.0
33	4602.0	337895.0	1042250.0
34	4511.0	342406.0	1052858.0
35	4359.0	346765.0	955108.0
36	4264.0	351029.0	910258.0
37	4207.0	355236.0	877021.0
38	4026.0	359262.0	899102.0
39	4087.0	363349.0	835713.0
40	3928.0	367277.0	804403.0
41	3789.0	371066.0	765631.0
42	3728.0	374794.0	719016.0
43	3716.0	378510.0	712495.0
44	3598.0	382108.0	691477.0
45	3508.0	385616.0	683212.0
46	3446.0	389062.0	620173.0
47	3380.0	392442.0	576395.0
48	3288.0	395730.0	594032.0
49	3233.0	398963.0	595266.0
50	3115.0	402078.0	554037.0
51	3134.0	405212.0	573775.0
52	3073.0	408285.0	544207.0
53	3053.0	411338.0	534795.0
54	3001.0	414339.0	501508.0
55	2898.0	417237.0	524541.0
56	2905.0	420142.0	462040.0
57	2869.0	423011.0	442026.0
58	2843.0	425854.0	472439.0
59	2827.0	428681.0	425708.0
60	2685.0	431366.0	406149.0
61	2574.0	433940.0	437087.0
62	2561.0	436501.0	430211.0
