tweets_seen	friends_seen	n
1	1	1403023
2	1	416361
2	2	933070
3	1	221468
3	2	481624
3	3	603155
4	1	137906
4	2	302475
4	3	440728
4	4	387921
5	1	101436
5	2	195428
5	3	325801
5	4	362425
5	5	251970
6	1	79643
6	2	142062
6	3	231261
6	4	308059
6	5	282282
6	6	165489
7	1	64506
7	2	110212
7	3	174374
7	4	241106
7	5	270084
7	6	212007
7	7	111168
8	1	52333
8	2	88892
8	3	138167
8	4	191008
8	5	231388
8	6	225946
8	7	155736
8	8	76688
9	1	40260
9	2	75320
9	3	112441
9	4	157246
9	5	193586
9	6	209742
9	7	181912
9	8	114211
9	9	54221
10	1	33910
10	2	58196
10	3	96797
10	4	130794
10	5	166351
10	6	184729
10	7	182362
10	8	143514
10	9	83341
10	10	39323
11	1	29994
11	2	47296
11	3	78051
11	4	112677
11	5	142562
11	6	165022
11	7	169307
11	8	153964
11	9	111645
11	10	60882
11	11	29504
12	1	26839
12	2	40165
12	3	63902
12	4	94510
12	5	123925
12	6	146229
12	7	157163
12	8	150056
12	9	127483
12	10	86206
12	11	44667
12	12	22695
13	1	24355
13	2	34905
13	3	53475
13	4	79083
13	5	106766
13	6	129337
13	7	143944
13	8	144688
13	9	130024
13	10	103861
13	11	65621
13	12	33491
13	13	17953
14	1	22107
14	2	30379
14	3	46310
14	4	67000
14	5	91474
14	6	114317
14	7	129843
14	8	136672
14	9	130084
14	10	110047
14	11	83795
14	12	50272
14	13	25178
14	14	14561
15	1	21079
15	2	26491
15	3	40173
15	4	57747
15	5	78651
15	6	100315
15	7	117093
15	8	126353
15	9	126943
15	10	114230
15	11	92046
15	12	66871
15	13	38557
15	14	19371
15	15	12020
16	1	19546
16	2	24307
16	3	34818
16	4	50449
16	5	68400
16	6	87821
16	7	104601
16	8	116988
16	9	119273
16	10	115374
16	11	98491
16	12	76047
16	13	53374
16	14	29615
16	15	15033
16	16	10213
17	1	15896
17	2	24467
17	3	31247
17	4	43872
17	5	60197
17	6	77280
17	7	93398
17	8	106897
17	9	112565
17	10	111126
17	11	102252
17	12	84196
17	13	62594
17	14	42331
17	15	22833
17	16	11881
17	17	8834
18	1	14984
18	2	20714
18	3	29715
18	4	39192
18	5	52799
18	6	68517
18	7	83210
18	8	97386
18	9	104634
18	10	106946
18	11	101110
18	12	89699
18	13	70831
18	14	51212
18	15	33633
18	16	17689
18	17	9712
18	18	7760
19	1	13230
19	2	19885
19	3	26103
19	4	35966
19	5	47143
19	6	60818
19	7	74886
19	8	87607
19	9	97538
19	10	100781
19	11	99328
19	12	90345
19	13	77825
19	14	59588
19	15	41594
19	16	26694
19	17	13913
19	18	8095
19	19	6822
20	1	12579
20	2	17391
20	3	24571
20	4	32192
20	5	42454
20	6	54684
20	7	67320
20	8	79410
20	9	89575
20	10	94927
20	11	95223
20	12	90827
20	13	80216
20	14	66644
20	15	49813
20	16	33613
20	17	21377
20	18	11020
